algorithm,mean_cumulative_regret,std_cumulative_regret,mean_average_reward,mean_optimal_arm_rate
ucb_c2,132.56999999999945,16.0507451868325,0.6674,0.77905
thompson_sampling,352.2900000000019,41.416827243857036,0.44675000000000004,0.41285
restarted_exp3_gamma_0.1_r200,365.3400000000024,12.520652412798512,0.4861,0.3911
epsilon_greedy_0.1,423.00000000000466,39.332108217615584,0.3776,0.295
exp3s_gamma_0.1_alpha_0.01,440.6400000000052,12.359969340790245,0.3825,0.2656
discounted_exp3_gamma_0.1_d0.99,441.39000000000533,11.746708385532822,0.3792,0.26435
sliding_exp3_gamma_0.1_w200,463.44000000000614,9.898133795397312,0.33535,0.22760000000000002
decay_epsilon_c1,482.3700000000069,37.75785871493442,0.316,0.19605
loss_exp3_gamma_0.1,516.1800000000081,4.335848123189928,0.2716,0.1397
exp3_gamma_0.1,521.6700000000083,5.455764696268964,0.27135000000000004,0.13055
